"","CC302","CC304","CC302a","CC305","CC306","CC308a","CC308b","CC308c","CC320","CC321","CC322_1","CC322_2","CC322_3","CC322_4","CC322_5","CC322_6","CC324","CC325","CC326","CC327","CC332A","CC332B","CC332C","CC332D","CC332E","CC332F","CC332G","CC332H","CC332I","CC332J"
"161300697",4,3,4,1,1,4,4,4,2,2,1,2,2,2,2,2,4,4,1,3,2,2,1,1,2,1,1,,2,1
"161300789",2,3,2,1,1,1,4,4,1,1,1,2,2,2,2,2,4,1,1,1,2,2,1,2,2,2,2,2,1,1
"161307379",4,4,4,2,2,4,4,3,3,3,2,2,1,1,1,1,2,4,2,3,2,2,2,2,1,2,1,1,2,2
"161308142",2,4,3,1,1,2,4,2,3,3,1,1,2,2,2,2,4,5,1,2,2,1,1,2,2,1,2,2,1,1
"161313709",2,4,2,1,1,2,4,3,1,1,1,2,2,1,2,2,4,3,1,2,2,1,2,2,2,1,2,1,1,1
"161317074",2,4,3,1,1,2,4,4,1,1,1,2,2,2,2,2,4,3,1,2,2,1,1,2,2,1,2,2,1,1
"161318286",3,2,2,3,3,1,2,2,1,3,1,2,2,2,2,2,4,3,1,1,2,2,2,2,2,1,1,,1,1
"161320026",4,2,3,3,3,2,2,2,1,1,1,1,2,2,2,2,4,3,2,3,2,2,1,2,1,1,2,1,1,1
"161324142",4,3,2,1,1,4,3,3,3,2,1,1,1,1,1,1,2,4,1,2,2,2,2,2,1,1,1,1,2,1
"161328093",2,2,2,1,1,1,4,2,3,1,2,2,2,1,2,2,4,2,1,3,2,1,1,2,2,2,2,1,1,1
"161329296",4,4,6,1,2,4,4,4,3,2,2,2,2,1,1,1,,3,2,4,2,2,2,1,2,2,1,1,2,1
"161330858",4,4,3,3,3,4,4,2,3,4,2,1,1,1,1,1,4,4,1,4,2,1,1,1,1,2,1,1,2,1
"161331279",2,5,2,1,1,1,2,2,1,3,1,1,1,1,2,2,4,4,2,1,2,2,2,2,2,2,1,1,1,1
"161334598",3,3,3,3,3,1,1,1,1,2,1,2,2,2,2,2,4,3,1,1,2,2,2,2,1,1,1,1,1,1
"161334753",5,3,6,3,1,4,2,2,3,3,2,1,1,1,1,1,2,2,2,4,2,2,2,2,1,2,1,1,2,2
"161335177",5,4,4,2,2,4,4,4,3,4,1,1,1,1,1,1,2,4,2,4,1,2,2,2,1,1,1,2,2,2
"161336280",3,2,3,2,2,4,4,3,2,3,2,1,1,1,1,1,4,3,2,3,1,2,1,1,1,1,1,1,2,2
"161340096",3,3,3,2,2,4,3,3,2,4,2,1,1,1,1,1,2,4,2,4,1,1,1,1,1,1,1,1,2,2
"161341357",4,3,3,2,2,4,3,2,3,4,2,2,1,2,2,2,2,4,1,2,,1,1,1,1,1,1,1,2,1
"161343488",2,3,2,1,2,2,4,4,3,1,2,2,2,1,2,2,4,2,1,2,2,2,2,2,2,2,2,,1,1
"161343742",5,5,6,2,2,4,3,3,3,3,2,1,1,1,2,1,2,4,2,4,1,2,1,2,1,1,1,1,2,2
"161344572",2,2,2,1,2,2,4,3,3,2,2,2,2,1,2,2,2,2,2,3,2,1,1,2,2,2,2,2,1,1
"161344968",3,4,2,1,1,1,4,4,1,2,1,2,2,2,2,2,4,2,1,2,2,2,1,2,2,2,2,2,1,1
"161345158",4,3,3,1,2,4,3,3,3,2,2,1,1,1,1,1,4,4,1,4,2,1,2,2,2,2,1,2,1,1
"161347574",2,2,2,1,3,2,3,2,1,2,1,2,2,2,2,2,1,4,2,2,2,1,1,,1,,,,,1
"161348053",4,3,4,3,3,4,3,4,1,2,2,1,1,1,1,1,3,3,2,4,2,1,1,1,1,,1,,2,2
